2026-01-01 17:45:41.003 [INFO] SkipList Multi-threaded Stress Test V1
2026-01-01 17:45:41.003 [INFO] ====================================
2026-01-01 17:45:41.003 [INFO] Keys to insert: 100000000
2026-01-01 17:45:41.003 [INFO] Threads: 12
2026-01-01 17:45:41.003 [INFO] Key size: 16 bytes
2026-01-01 17:45:41.003 [INFO] Value size: 100 bytes
2026-01-01 17:45:41.003 [INFO] 
2026-01-01 17:45:41.003 [INFO] Inserting keys...
2026-01-01 17:47:25.020 [INFO]   15M keys, 149K ops/sec, memory: 2678 MB
2026-01-01 17:47:26.020 [INFO]   15M keys, 149K ops/sec, memory: 2705 MB
2026-01-01 17:47:27.020 [INFO]   15M keys, 150K ops/sec, memory: 2732 MB
2026-01-01 17:47:28.020 [INFO]   16M keys, 151K ops/sec, memory: 2758 MB
2026-01-01 17:47:29.021 [INFO]   16M keys, 149K ops/sec, memory: 2785 MB
2026-01-01 17:47:30.021 [INFO]   16M keys, 151K ops/sec, memory: 2812 MB
2026-01-01 17:47:31.021 [INFO]   16M keys, 149K ops/sec, memory: 2838 MB
2026-01-01 17:47:32.021 [INFO]   16M keys, 149K ops/sec, memory: 2865 MB
2026-01-01 17:47:33.021 [INFO]   16M keys, 147K ops/sec, memory: 2891 MB
2026-01-01 17:47:34.021 [INFO]   16M keys, 146K ops/sec, memory: 2917 MB
2026-01-01 17:47:35.021 [INFO]   17M keys, 147K ops/sec, memory: 2943 MB
2026-01-01 17:47:36.022 [INFO]   17M keys, 152K ops/sec, memory: 2970 MB
2026-01-01 17:47:37.022 [INFO]   17M keys, 151K ops/sec, memory: 2997 MB
2026-01-01 17:47:38.022 [INFO]   17M keys, 148K ops/sec, memory: 3024 MB
2026-01-01 17:47:39.022 [INFO]   17M keys, 149K ops/sec, memory: 3050 MB
2026-01-01 17:47:40.022 [INFO]   17M keys, 149K ops/sec, memory: 3077 MB
2026-01-01 17:47:41.022 [INFO]   17M keys, 149K ops/sec, memory: 3103 MB
2026-01-01 17:47:42.023 [INFO]   18M keys, 148K ops/sec, memory: 3129 MB
2026-01-01 17:47:43.023 [INFO]   18M keys, 149K ops/sec, memory: 3156 MB
2026-01-01 17:47:44.023 [INFO]   18M keys, 147K ops/sec, memory: 3182 MB
2026-01-01 17:47:45.023 [INFO]   18M keys, 147K ops/sec, memory: 3208 MB
2026-01-01 17:47:46.023 [INFO]   18M keys, 148K ops/sec, memory: 3235 MB
2026-01-01 17:47:47.023 [INFO]   18M keys, 148K ops/sec, memory: 3261 MB
2026-01-01 17:47:48.023 [INFO]   18M keys, 146K ops/sec, memory: 3287 MB
2026-01-01 17:47:49.024 [INFO]   19M keys, 146K ops/sec, memory: 3313 MB
2026-01-01 17:47:50.024 [INFO]   19M keys, 143K ops/sec, memory: 3339 MB
2026-01-01 17:47:51.024 [INFO]   19M keys, 139K ops/sec, memory: 3363 MB
2026-01-01 17:47:52.024 [INFO]   19M keys, 140K ops/sec, memory: 3388 MB
2026-01-01 17:47:53.024 [INFO]   19M keys, 141K ops/sec, memory: 3413 MB
2026-01-01 17:47:54.024 [INFO]   19M keys, 143K ops/sec, memory: 3439 MB
2026-01-01 17:47:55.024 [INFO]   19M keys, 142K ops/sec, memory: 3464 MB
2026-01-01 17:47:56.025 [INFO]   20M keys, 142K ops/sec, memory: 3489 MB
2026-01-01 17:47:57.025 [INFO]   20M keys, 143K ops/sec, memory: 3515 MB
2026-01-01 17:47:58.025 [INFO]   20M keys, 141K ops/sec, memory: 3540 MB
2026-01-01 17:47:59.025 [INFO]   20M keys, 143K ops/sec, memory: 3565 MB
2026-01-01 17:48:00.025 [INFO]   20M keys, 140K ops/sec, memory: 3590 MB
2026-01-01 17:48:01.025 [INFO]   20M keys, 141K ops/sec, memory: 3615 MB
2026-01-01 17:48:02.025 [INFO]   20M keys, 141K ops/sec, memory: 3641 MB
2026-01-01 17:48:03.026 [INFO]   21M keys, 145K ops/sec, memory: 3666 MB
2026-01-01 17:48:04.026 [INFO]   21M keys, 147K ops/sec, memory: 3693 MB
2026-01-01 17:48:05.027 [INFO]   21M keys, 143K ops/sec, memory: 3718 MB
2026-01-01 17:48:06.028 [INFO]   21M keys, 140K ops/sec, memory: 3743 MB
2026-01-01 17:48:07.028 [INFO]   21M keys, 143K ops/sec, memory: 3769 MB
2026-01-01 17:48:08.028 [INFO]   21M keys, 142K ops/sec, memory: 3794 MB
2026-01-01 17:48:09.028 [INFO]   21M keys, 142K ops/sec, memory: 3819 MB
2026-01-01 17:48:10.028 [INFO]   22M keys, 141K ops/sec, memory: 3844 MB
2026-01-01 17:48:11.028 [INFO]   22M keys, 139K ops/sec, memory: 3869 MB
2026-01-01 17:48:12.028 [INFO]   22M keys, 142K ops/sec, memory: 3894 MB
2026-01-01 17:48:13.029 [INFO]   22M keys, 139K ops/sec, memory: 3919 MB
2026-01-01 17:48:14.029 [INFO]   22M keys, 140K ops/sec, memory: 3944 MB
2026-01-01 17:48:15.029 [INFO]   22M keys, 139K ops/sec, memory: 3969 MB
2026-01-01 17:48:16.029 [INFO]   22M keys, 139K ops/sec, memory: 3993 MB
2026-01-01 17:48:17.029 [INFO]   23M keys, 139K ops/sec, memory: 4018 MB
2026-01-01 17:48:18.029 [INFO]   23M keys, 139K ops/sec, memory: 4043 MB
2026-01-01 17:48:19.029 [INFO]   23M keys, 142K ops/sec, memory: 4068 MB
2026-01-01 17:48:20.030 [INFO]   23M keys, 141K ops/sec, memory: 4093 MB
2026-01-01 17:48:21.030 [INFO]   23M keys, 138K ops/sec, memory: 4118 MB
2026-01-01 17:48:22.030 [INFO]   23M keys, 141K ops/sec, memory: 4143 MB
2026-01-01 17:48:23.030 [INFO]   23M keys, 140K ops/sec, memory: 4168 MB
2026-01-01 17:48:24.030 [INFO]   24M keys, 142K ops/sec, memory: 4193 MB
2026-01-01 17:48:25.030 [INFO]   24M keys, 142K ops/sec, memory: 4219 MB
2026-01-01 17:48:26.030 [INFO]   24M keys, 144K ops/sec, memory: 4244 MB
2026-01-01 17:48:27.031 [INFO]   24M keys, 144K ops/sec, memory: 4270 MB
2026-01-01 17:48:28.031 [INFO]   24M keys, 144K ops/sec, memory: 4295 MB
2026-01-01 17:48:29.031 [INFO]   24M keys, 143K ops/sec, memory: 4321 MB
2026-01-01 17:48:30.031 [INFO]   24M keys, 144K ops/sec, memory: 4346 MB
2026-01-01 17:48:31.031 [INFO]   25M keys, 143K ops/sec, memory: 4372 MB
2026-01-01 17:48:32.031 [INFO]   25M keys, 143K ops/sec, memory: 4397 MB
2026-01-01 17:48:33.031 [INFO]   25M keys, 143K ops/sec, memory: 4423 MB
2026-01-01 17:48:34.032 [INFO]   25M keys, 141K ops/sec, memory: 4448 MB
2026-01-01 17:48:35.032 [INFO]   25M keys, 145K ops/sec, memory: 4474 MB
2026-01-01 17:48:36.032 [INFO]   25M keys, 145K ops/sec, memory: 4500 MB
2026-01-01 17:48:37.032 [INFO]   25M keys, 145K ops/sec, memory: 4526 MB
2026-01-01 17:48:38.032 [INFO]   26M keys, 142K ops/sec, memory: 4551 MB
2026-01-01 17:48:39.032 [INFO]   26M keys, 141K ops/sec, memory: 4576 MB
2026-01-01 17:48:40.032 [INFO]   26M keys, 142K ops/sec, memory: 4601 MB
2026-01-01 17:48:41.033 [INFO]   26M keys, 141K ops/sec, memory: 4626 MB
2026-01-01 17:48:42.033 [INFO]   26M keys, 141K ops/sec, memory: 4652 MB
2026-01-01 17:48:43.033 [INFO]   26M keys, 140K ops/sec, memory: 4676 MB
2026-01-01 17:48:44.033 [INFO]   26M keys, 143K ops/sec, memory: 4702 MB
2026-01-01 17:48:45.033 [INFO]   27M keys, 141K ops/sec, memory: 4727 MB
2026-01-01 17:48:46.033 [INFO]   27M keys, 142K ops/sec, memory: 4752 MB
2026-01-01 17:48:47.033 [INFO]   27M keys, 140K ops/sec, memory: 4777 MB
2026-01-01 17:48:48.034 [INFO]   27M keys, 142K ops/sec, memory: 4802 MB
2026-01-01 17:48:49.034 [INFO]   27M keys, 143K ops/sec, memory: 4828 MB
2026-01-01 17:48:50.034 [INFO]   27M keys, 140K ops/sec, memory: 4853 MB
2026-01-01 17:48:51.034 [INFO]   27M keys, 140K ops/sec, memory: 4878 MB
2026-01-01 17:48:52.034 [INFO]   28M keys, 141K ops/sec, memory: 4903 MB
2026-01-01 17:48:53.034 [INFO]   28M keys, 141K ops/sec, memory: 4928 MB
2026-01-01 17:48:54.035 [INFO]   28M keys, 141K ops/sec, memory: 4953 MB
2026-01-01 17:48:55.035 [INFO]   28M keys, 141K ops/sec, memory: 4978 MB
2026-01-01 17:48:56.035 [INFO]   28M keys, 140K ops/sec, memory: 5003 MB
2026-01-01 17:48:57.035 [INFO]   28M keys, 142K ops/sec, memory: 5029 MB
2026-01-01 17:48:58.035 [INFO]   28M keys, 143K ops/sec, memory: 5054 MB
2026-01-01 17:48:59.035 [INFO]   29M keys, 141K ops/sec, memory: 5079 MB
2026-01-01 17:49:00.035 [INFO]   29M keys, 141K ops/sec, memory: 5104 MB
2026-01-01 17:49:01.036 [INFO]   29M keys, 140K ops/sec, memory: 5129 MB
2026-01-01 17:49:02.036 [INFO]   29M keys, 139K ops/sec, memory: 5154 MB
2026-01-01 17:49:03.036 [INFO]   29M keys, 139K ops/sec, memory: 5179 MB
2026-01-01 17:49:04.036 [INFO]   29M keys, 138K ops/sec, memory: 5203 MB
2026-01-01 17:49:05.036 [INFO]   29M keys, 139K ops/sec, memory: 5228 MB
2026-01-01 17:49:06.037 [INFO]   30M keys, 139K ops/sec, memory: 5253 MB
2026-01-01 17:49:07.037 [INFO]   30M keys, 141K ops/sec, memory: 5278 MB
2026-01-01 17:49:08.038 [INFO]   30M keys, 143K ops/sec, memory: 5304 MB
2026-01-01 17:49:09.038 [INFO]   30M keys, 142K ops/sec, memory: 5329 MB
2026-01-01 17:49:10.038 [INFO]   30M keys, 140K ops/sec, memory: 5354 MB
2026-01-01 17:49:11.038 [INFO]   30M keys, 144K ops/sec, memory: 5380 MB
2026-01-01 17:49:12.038 [INFO]   30M keys, 142K ops/sec, memory: 5405 MB
2026-01-01 17:49:13.038 [INFO]   31M keys, 144K ops/sec, memory: 5431 MB
2026-01-01 17:49:14.039 [INFO]   31M keys, 145K ops/sec, memory: 5456 MB
2026-01-01 17:49:15.039 [INFO]   31M keys, 141K ops/sec, memory: 5481 MB
2026-01-01 17:49:16.039 [INFO]   31M keys, 143K ops/sec, memory: 5507 MB
2026-01-01 17:49:17.039 [INFO]   31M keys, 142K ops/sec, memory: 5532 MB
2026-01-01 17:49:18.039 [INFO]   31M keys, 141K ops/sec, memory: 5557 MB
2026-01-01 17:49:19.039 [INFO]   31M keys, 141K ops/sec, memory: 5583 MB
2026-01-01 17:49:20.039 [INFO]   32M keys, 143K ops/sec, memory: 5608 MB
2026-01-01 17:49:21.040 [INFO]   32M keys, 143K ops/sec, memory: 5634 MB
2026-01-01 17:49:22.040 [INFO]   32M keys, 142K ops/sec, memory: 5659 MB
2026-01-01 17:49:23.040 [INFO]   32M keys, 142K ops/sec, memory: 5684 MB
2026-01-01 17:49:24.040 [INFO]   32M keys, 142K ops/sec, memory: 5709 MB
2026-01-01 17:49:25.040 [INFO]   32M keys, 143K ops/sec, memory: 5735 MB
2026-01-01 17:49:26.040 [INFO]   32M keys, 143K ops/sec, memory: 5760 MB
2026-01-01 17:49:27.040 [INFO]   33M keys, 141K ops/sec, memory: 5785 MB
2026-01-01 17:49:28.041 [INFO]   33M keys, 142K ops/sec, memory: 5811 MB
2026-01-01 17:49:29.041 [INFO]   33M keys, 142K ops/sec, memory: 5836 MB
2026-01-01 17:49:30.041 [INFO]   33M keys, 141K ops/sec, memory: 5861 MB
2026-01-01 17:49:31.041 [INFO]   33M keys, 143K ops/sec, memory: 5887 MB
2026-01-01 17:49:32.041 [INFO]   33M keys, 142K ops/sec, memory: 5912 MB
2026-01-01 17:49:33.041 [INFO]   33M keys, 141K ops/sec, memory: 5937 MB
2026-01-01 17:49:34.041 [INFO]   34M keys, 142K ops/sec, memory: 5963 MB
2026-01-01 17:49:35.042 [INFO]   34M keys, 144K ops/sec, memory: 5988 MB
2026-01-01 17:49:36.042 [INFO]   34M keys, 143K ops/sec, memory: 6014 MB
2026-01-01 17:49:37.042 [INFO]   34M keys, 144K ops/sec, memory: 6039 MB
2026-01-01 17:49:38.042 [INFO]   34M keys, 133K ops/sec, memory: 6063 MB
2026-01-01 17:49:39.042 [INFO]   34M keys, 139K ops/sec, memory: 6088 MB
2026-01-01 17:49:40.042 [INFO]   34M keys, 142K ops/sec, memory: 6113 MB
2026-01-01 17:49:41.042 [INFO]   34M keys, 141K ops/sec, memory: 6138 MB
2026-01-01 17:49:42.043 [INFO]   35M keys, 142K ops/sec, memory: 6164 MB
2026-01-01 17:49:43.043 [INFO]   35M keys, 143K ops/sec, memory: 6189 MB
2026-01-01 17:49:44.043 [INFO]   35M keys, 142K ops/sec, memory: 6214 MB
2026-01-01 17:49:45.043 [INFO]   35M keys, 142K ops/sec, memory: 6240 MB
2026-01-01 17:49:46.043 [INFO]   35M keys, 140K ops/sec, memory: 6265 MB
2026-01-01 17:49:47.043 [INFO]   35M keys, 142K ops/sec, memory: 6290 MB
2026-01-01 17:49:48.044 [INFO]   35M keys, 144K ops/sec, memory: 6316 MB
